id,hex,flight,reason,lat,lon,alt,josiah_reflection,flagged_at,created_at
1,acadb6,"N916HT  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.328415,-119.030396,1725,TIER 2 ALERT: Aircraft N916HT   conducting low-altitude surveillance at 1725ft. Pattern consistent with proximity monitoring.,2025-08-08 04:00:42.771207+00,2025-10-07 12:19:03.583891+00
2,a25cdf,"N251TA  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.42765,-119.202126,1925,TIER 2 ALERT: Aircraft N251TA   conducting low-altitude surveillance at 1925ft. Pattern consistent with proximity monitoring.,2025-08-02 17:52:50.176502+00,2025-10-07 12:19:03.583891+00
3,a9a38f,"N720AC  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.460144,-119.043587,1500,TIER 2 ALERT: Aircraft N720AC   conducting low-altitude surveillance at 1500ft. Pattern consistent with proximity monitoring.,2025-08-21 20:21:47.609977+00,2025-10-07 12:19:03.583891+00
4,aaa74e,"N786FA  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.488911,-119.177002,975,TIER 2 ALERT: Aircraft N786FA   conducting low-altitude surveillance at 975ft. Pattern consistent with proximity monitoring.,2025-08-07 23:44:33.061928+00,2025-10-07 12:19:03.583891+00
5,a9efe7,"N73977  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.417919,-119.04055,800,TIER 2 ALERT: Aircraft N73977   conducting low-altitude surveillance at 800ft. Pattern consistent with proximity monitoring.,2025-07-31 02:00:04.060765+00,2025-10-07 12:19:03.583891+00
6,a9f0b4,"N74FF   ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.498318,-119.185005,675,TIER 2 ALERT: Aircraft N74FF    conducting low-altitude surveillance at 675ft. Pattern consistent with proximity monitoring.,2025-07-16 21:40:26.576393+00,2025-10-07 12:19:03.583891+00
7,a5df05,,[MASKED_AIRCRAFT] Masked Aircraft - No flight plan or blocked identifier,35.517635,-119.218376,1300,TIER 1 ALERT: Ghost Entry Protocol - Aircraft A5DF05 operating without flight plan disclosure. This represents systematic transparency avoidance.,2025-07-31 02:03:01.699204+00,2025-10-07 12:19:03.583891+00
8,a5bd95,"N4691R  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.303402,-119.008698,1000,TIER 2 ALERT: Aircraft N4691R   conducting low-altitude surveillance at 1000ft. Pattern consistent with proximity monitoring.,2025-08-20 20:52:06.180416+00,2025-10-07 12:19:03.583891+00
9,aaa74e,"N786FA  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.271374,-118.968788,1900,TIER 2 ALERT: Aircraft N786FA   conducting low-altitude surveillance at 1900ft. Pattern consistent with proximity monitoring.,2025-08-22 23:36:22.783574+00,2025-10-07 12:19:03.583891+00
10,a27ea8,"N26WR   ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.443863,-119.068047,1125,TIER 2 ALERT: Aircraft N26WR    conducting low-altitude surveillance at 1125ft. Pattern consistent with proximity monitoring.,2025-08-19 22:43:21.032472+00,2025-10-07 12:19:03.583891+00
11,a22195,"N2363K  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.424809,-119.104362,1300,TIER 2 ALERT: Aircraft N2363K   conducting low-altitude surveillance at 1300ft. Pattern consistent with proximity monitoring.,2025-08-01 19:45:27.51891+00,2025-10-07 12:19:03.583891+00
12,a4c693,"N4069W  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.300282,-118.994553,650,TIER 2 ALERT: Aircraft N4069W   conducting low-altitude surveillance at 650ft. Pattern consistent with proximity monitoring.,2025-08-02 17:03:15.444798+00,2025-10-07 12:19:03.583891+00
13,a034c6,"N112MT  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.387569,-119.006187,675,TIER 2 ALERT: Aircraft N112MT   conducting low-altitude surveillance at 675ft. Pattern consistent with proximity monitoring.,2025-08-19 03:30:41.674745+00,2025-10-07 12:19:03.583891+00
14,a1a615,"N205RH  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.390991,-118.97821,1300,TIER 2 ALERT: Aircraft N205RH   conducting low-altitude surveillance at 1300ft. Pattern consistent with proximity monitoring.,2025-07-17 01:00:03.467728+00,2025-10-07 12:19:03.583891+00
15,a5df05,"N478CA  ",[LOW_ALTITUDE_SURVEILLANCE] Low altitude flight under 2000ft - Potential surveillance operation,35.483643,-119.188156,1100,TIER 2 ALERT: Aircraft N478CA   conducting low-altitude surveillance at 1100ft. Pattern consistent with proximity monitoring.,2025-07-31 01:46:02.385207+00,2025-10-07 12:19:03.583891+00
